Date,Open,High,Low,Close,Wolumen
2021-07-11,314.4,326.49,312.38,325.96
2021-07-12,325.98,334.28,308.76,313.82
2021-07-13,313.82,318.22,305.33,307.6
2021-07-14,307.6,313.28,290.76,309.09
2021-07-15,309.09,323.88,301.73,317.58
2021-07-16,317.05,323.33,301.78,304.51
2021-07-17,304.47,306.79,295.23,302.79
2021-07-18,302.86,309.18,299.6,307.67
2021-07-19,307.67,308.02,279.15,281.27
2021-07-20,281.17,283.85,255.24,266.54
2021-07-21,266.51,298.71,261.15,286.34
2021-07-22,286.34,298.62,286.14,293.29
2021-07-23,292.99,301.11,281.55,289.82
2021-07-24,289.83,307.98,289.67,299.66
2021-07-25,299.67,304.29,292.82,299.73
2021-07-26,299.73,327.5,298.92,305.03
2021-07-27,305.12,318.48,298.4,309.25
2021-07-28,309.58,318.65,307.96,312.78
2021-07-29,312.89,316.07,308.87,313.18
2021-07-30,313.25,325.71,306.65,320.05
2021-07-31,320.06,338.56,317.89,337.93
2021-08-01,337.59,347.84,331.12,341.03
2021-08-02,341.03,342.36,326.37,330.96
2021-08-03,330.75,334.56,317.68,322.27
2021-08-04,322.2,336.62,319.8,335.3
2021-08-05,335.28,339.93,323.75,338.13
2021-08-06,338.14,347.32,331.31,338.91
2021-08-07,338.97,359.71,338.73,350.48
2021-08-08,350.25,360.05,337.1,343.36
2021-08-09,343.24,357.46,333.68,351.88
2021-08-10,351.92,376.27,349.03,373.58
2021-08-11,373.59,408.61,369.53,400.71
2021-08-12,400.64,406.34,372.17,384.43
2021-08-13,384.68,407.04,376.41,404.32
2021-08-14,404.32,419.08,400.71,409.68
2021-08-15,409.68,411.42,396.76,410.75
2021-08-16,410.6,437.13,410.6,420.11
2021-08-17,420.11,435.76,401.79,404.39
2021-08-18,404.38,412.03,386.24,393.6
2021-08-19,392.93,430.26,391.02,428.86
2021-08-20,428.83,457.72,421.85,457.32
2021-08-21,457.45,460.27,445.13,451.93
2021-08-22,451.94,458.49,438.28,443.63
2021-08-23,443.93,509.63,442.64,508.64
2021-08-24,508.56,508.56,462.64,476.45
2021-08-25,476.68,507.17,470.09,502.99
2021-08-26,503.11,518.75,472.16,484.44
2021-08-27,484.59,495.11,467.35,493.88
2021-08-28,493.51,496.83,482.86,487.85
2021-08-29,487.85,495.84,476.98,480.46
2021-08-30,480.52,484.35,463.14,477.94
2021-08-31,477.94,478.6,452.38,462.79
2021-09-01,462.54,489.57,455.77,487.57
2021-09-02,487.65,504.85,478.68,489.49
2021-09-03,489.48,494.6,473.66,490.27
2021-09-04,490.27,509.94,483.69,500.44
2021-09-05,500.42,504.96,488.96,503.68
2021-09-06,503.75,509.27,488.15,499.19
2021-09-07,499.28,504.94,371.37,410.59
2021-09-08,411.22,425.21,383.26,413.5
2021-09-09,413.37,435.81,404.25,422.04
2021-09-10,422.11,439.26,394.4,398.41
2021-09-11,398.08,415.08,394.23,409.91
2021-09-12,409.91,421.5,397.99,409.99
2021-09-13,410.01,419.95,386.19,400.73
2021-09-14,400.56,411.96,396.42,406.78
2021-09-15,406.63,436.6,405.98,430.03
2021-09-16,429.94,433.11,415.79,422.18
2021-09-17,422.29,425.94,400.79,405.57
2021-09-18,405.77,419.68,401.63,408.83
2021-09-19,408.87,418.98,403.44,412.74
2021-09-20,412.8,413.93,354.77,366.22
2021-09-21,366.28,375.59,337.18,352.33
2021-09-22,352.31,379.78,342.54,377.24
2021-09-23,377.27,383.95,369.34,381.61
2021-09-24,381.62,385.21,334.67,357.82
2021-09-25,357.82,360.66,343.97,349.28
2021-09-26,349.29,352.71,319.97,348.84
2021-09-27,348.73,357.41,336.53,341.54
2021-09-28,341.58,344.43,330.04,338.88
2021-09-29,338.88,375.2,331.5,363.55
2021-09-30,363.61,387.43,362.32,386
2021-10-01,385.94,423.54,381.42,421.69
2021-10-02,421.57,438.4,411.14,436.71
2021-10-03,436.59,437.79,422.36,426.98
2021-10-04,426.97,431.54,411.84,425.4
2021-10-05,425.4,444,421.41,442.62
2021-10-06,442.6,443.98,415.26,433.92
2021-10-07,433.91,450.24,423.9,444.21
2021-10-08,444.26,444.37,416.34,419.71
2021-10-09,419.77,426.04,416.76,421.74
2021-10-10,421.9,422.4,402.96,407.39
2021-10-11,407.38,423.78,401.14,410.67
2021-10-12,410.67,442.44,392.56,439.44
2021-10-13,438.52,467.79,433.52,462.25
2021-10-14,462.23,482.7,461.69,470.15
2021-10-15,470.15,477.33,452.68,472.89
